City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
169,New Norfolk,AU,69.3,overcast clouds,-42.7826,147.0587,No hotel found
170,Henties Bay,,64.44,overcast clouds,-22.116,14.2845,No hotel found
172,Boyolangu,ID,83.17,broken clouds,-8.1181,111.8935,No hotel found
173,Mopti,ML,60.84,clear sky,14.6667,-4.0,No hotel found
174,Cidreira,BR,73.24,few clouds,-30.1811,-50.2056,No hotel found
177,Middelburg,ZA,62.85,broken clouds,-25.7751,29.4648,No hotel found
178,San Carlos,VE,71.06,broken clouds,9.6612,-68.5827,No hotel found
181,Conceicao Da Barra,BR,73.94,light rain,-18.5933,-39.7322,No hotel found
184,Mirador,BR,69.06,overcast clouds,-6.3708,-44.3631,No hotel found
185,Chabahar,IR,62.29,clear sky,25.2919,60.643,No hotel found
188,Touros,BR,78.35,overcast clouds,-5.1989,-35.4608,No hotel found
189,Kattivakkam,IN,75.29,overcast clouds,13.2167,80.3167,No hotel found
190,Miri,MY,84.34,scattered clouds,4.4148,114.0089,No hotel found
192,Norsup,VU,78.06,heavy intensity rain,-16.0667,167.3833,No hotel found
194,Pyapon,MM,81.95,clear sky,16.2833,95.6833,
199,Ambulu,ID,80.96,overcast clouds,-8.345,113.6058,
200,Prichard,US,61.34,clear sky,30.7388,-88.0789,
201,Vao,NC,76.3,broken clouds,-22.6667,167.4833,
202,Mareeba,AU,84.92,overcast clouds,-17.0,145.4333,
203,Upata,VE,72.19,scattered clouds,8.0086,-62.3989,
206,Codrington,AU,65.88,broken clouds,-38.2667,141.9667,
207,Isangel,VU,81.41,scattered clouds,-19.55,169.2667,
209,Saldanha,ZA,62.65,clear sky,-33.0117,17.9442,
210,Carnarvon,AU,81.66,clear sky,-24.8667,113.6333,
212,Black River,JM,71.71,scattered clouds,18.0264,-77.8487,
216,Hermanus,ZA,63.81,clear sky,-34.4187,19.2345,
218,Bambous Virieux,MU,77.22,thunderstorm with rain,-20.3428,57.7575,
219,Souillac,MU,75.58,thunderstorm with rain,-20.5167,57.5167,
223,Galdar,ES,63.1,overcast clouds,28.147,-15.6502,
224,Mouila,GA,72.07,overcast clouds,-1.8685,11.0559,
226,Cap Malheureux,MU,77.47,heavy intensity rain,-19.9842,57.6142,
229,Grand Gaube,MU,77.38,heavy intensity rain,-20.0064,57.6608,
232,The Valley,AI,77.09,clear sky,18.217,-63.0578,
233,Xai-Xai,MZ,74.05,broken clouds,-25.0519,33.6442,
235,Bengkulu,ID,79.0,overcast clouds,-3.8004,102.2655,
236,Waingapu,ID,79.83,overcast clouds,-9.6567,120.2641,
237,Kaitangata,NZ,67.19,overcast clouds,-46.2817,169.8464,
238,San Patricio,US,66.83,scattered clouds,28.017,-97.5169,
239,Acapulco,MX,76.82,clear sky,16.8634,-99.8901,
241,Ano Mera,GR,61.52,few clouds,37.45,25.4,
242,Nata,PA,73.27,broken clouds,8.3333,-80.5167,
249,Cabo San Lucas,MX,67.51,broken clouds,22.8909,-109.9124,
250,Luwuk,ID,86.11,overcast clouds,-0.9516,122.7875,
251,Antofagasta,CL,67.28,broken clouds,-23.65,-70.4,
254,Te Anau,NZ,67.64,few clouds,-45.4167,167.7167,
255,Natal,BR,75.85,few clouds,-5.795,-35.2094,
256,Cayenne,GF,73.44,scattered clouds,4.9333,-52.3333,
260,Launceston,AU,76.6,overcast clouds,-41.45,147.1667,
262,Port Lincoln,AU,66.56,overcast clouds,-34.7333,135.8667,
268,Quelimane,MZ,76.95,few clouds,-17.8786,36.8883,
269,Banjar,ID,83.77,overcast clouds,-8.19,114.9675,
270,Armidale,AU,68.83,overcast clouds,-30.5167,151.65,
272,Gisborne,NZ,71.26,scattered clouds,-38.6533,178.0042,
273,Wanaka,NZ,66.09,broken clouds,-44.7,169.15,
275,Chiang Khong,TH,80.64,clear sky,20.2613,100.4046,
278,Quatre Cocos,MU,77.09,light rain,-20.2078,57.7625,
280,Dhar,IN,69.17,broken clouds,22.6,75.3,
283,Pak Phanang,TH,84.22,overcast clouds,8.3511,100.202,
285,Muntilan,ID,81.5,broken clouds,-7.5811,110.2928,
286,Kodinar,IN,70.23,clear sky,20.7903,70.7031,
289,Dingle,PH,82.26,overcast clouds,10.9995,122.6711,
290,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,
291,Weligama,LK,80.11,scattered clouds,5.9667,80.4167,
292,Tuatapere,NZ,63.75,scattered clouds,-46.1333,167.6833,
293,Amahai,ID,86.27,overcast clouds,-3.3333,128.9167,
294,Port Macquarie,AU,71.89,overcast clouds,-31.4333,152.9167,
295,Arlit,NE,61.99,clear sky,18.7369,7.3853,
299,Port Antonio,JM,78.71,scattered clouds,18.18,-76.4612,
300,Viedma,AR,76.19,broken clouds,-40.8135,-62.9967,
301,Palauig,PH,85.26,broken clouds,15.435,119.9045,
302,Puerto Baquerizo Moreno,EC,74.14,clear sky,-0.9,-89.6,
303,Kiunga,PG,87.84,broken clouds,-6.1219,141.2906,
307,Cockburn Town,TC,76.75,scattered clouds,21.4612,-71.1419,
308,Omboue,GA,74.86,overcast clouds,-1.5746,9.2618,
309,Lorengau,PG,82.11,overcast clouds,-2.0226,147.2712,
310,Christchurch,NZ,87.42,overcast clouds,-43.5333,172.6333,
315,Daru,PG,88.07,broken clouds,-9.0763,143.2092,
316,Tarakan,ID,85.5,scattered clouds,3.3,117.6333,
320,Tuy Hoa,VN,71.47,overcast clouds,13.0833,109.3,
321,Namibe,AO,72.84,overcast clouds,-15.1961,12.1522,
323,Sinnamary,GF,74.12,clear sky,5.3833,-52.95,
324,Necochea,AR,70.12,clear sky,-38.5473,-58.7368,
328,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,
329,Sibolga,ID,84.13,overcast clouds,1.7427,98.7792,
330,Itoman,JP,66.58,few clouds,26.1247,127.6694,
331,Inverell,AU,81.66,light rain,-29.7833,151.1167,
332,General Roca,AR,68.63,overcast clouds,-39.0333,-67.5833,
334,Casambalangan,PH,74.46,broken clouds,18.3765,122.1274,
335,Atar,MR,61.14,clear sky,20.5169,-13.0499,
337,Santa Maria,BR,74.5,few clouds,-29.6842,-53.8069,
338,Rawson,AR,80.96,broken clouds,-43.3002,-65.1023,
339,Antalaha,MG,75.06,overcast clouds,-14.9003,50.2788,
341,Itarema,BR,76.12,broken clouds,-2.9248,-39.9167,
344,Betare Oya,CM,66.31,broken clouds,5.6,14.0833,
347,Itanhaem,BR,73.24,overcast clouds,-24.1831,-46.7889,
348,Taganak,PH,82.54,broken clouds,6.0833,118.3,
349,Araouane,ML,64.24,clear sky,18.9048,-3.5265,
351,Tanout,NE,62.83,clear sky,14.9709,8.8879,
352,Itaqui,BR,80.76,clear sky,-29.1253,-56.5531,
353,Ha Tinh,VN,60.64,overcast clouds,18.3333,105.9,
354,Effingham,US,66.15,broken clouds,32.3669,-81.3332,
355,Kindu,CD,68.94,overcast clouds,-2.95,25.95,
356,Tokonou,GN,68.31,broken clouds,9.65,-9.7833,
359,Yuli,NG,68.11,scattered clouds,9.6989,10.2744,
361,Bandarbeyla,SO,76.73,overcast clouds,9.4942,50.8122,
363,Lazaro Cardenas,MX,71.67,scattered clouds,17.9583,-102.2,
364,Georgetown,MY,85.93,few clouds,5.4112,100.3354,
366,Vega De Alatorre,MX,72.81,broken clouds,20.0333,-96.6333,
368,Tautira,PF,81.14,few clouds,-17.7333,-149.15,
371,Swan Hill,AU,82.71,clear sky,-35.3378,143.5544,
374,Pakokku,MM,74.21,clear sky,21.3333,95.1,
